"Harapan_Lama_Sekolah","Pengeluaran_Perkapita","Rerata_Lama_Sekolah","Usia_Harapan_Hidup","IPM"
"0.52430555555556","11720","7:46","69:32:00","Normal"
"0.55069444444444","12707","7:52","67:41:00","Normal"
"12:04","9868","7:55","66:27:00","Normal"
"0.52430555555556","11952","0.34513888888889","70:57:00","High"
"12:38","12736","0.34444444444444","66:12:00","Normal"
"12:21","12280","8:01","66:02:00","Normal"
"0.56388888888889","9644","0.34375","64:01:00","Normal"
"0.56180555555556","11470","9:11","70:57:00","High"
"12:48","11844","0.35902777777778","70:45:00","High"
"12:47","11500","0.33958333333333","67.85","Normal"
"0.60694444444444","14432","10:02","71:29:00","High"
"0.64027777777778","13789","0.48333333333333","72:01:00","High"
"0.59791666666667","12116","0.43333333333333","74.61","High"
"13:25","10673","0.38819444444444","72.88","High"
"13:02","10062","8:07","73:01:00","High"
"13:06","11048","9:23","72.64","High"
"12:09","10868","9:43","73:46:00","High"
"13:33","12435","9:53","72:32:00","High"
"12:57","11651","8:36","71.68","High"
"0.54236111111111","7802","8:18","72:33:00","Normal"
"14:22","14862","0.47986111111111","74.76","Very-High"
"15:09","14582","10:49","74:54:00","Very-High"
"13:17","16765","10:08","74:55:00","Very-High"
"0.56527777777778","9075","9:11","72.65","High"
"13:31","9928","9:04","71:49:00","High"
"13:01","9423","9:19","72.74","High"
"12:22","7676","8:08","71:49:00","Normal"
"0.54513888888889","7064","8:17","71:04:00","Normal"
"14:03","11261","0.44305555555556","74:04:00","High"
"0.56527777777778","10882","0.41805555555556","71.76","High"
"11:53","10220","8:03","69:45:00","Normal"
"14:15","12481","0.42569444444444","71:16:00","High"
"12:47","11524","8:34","70:18:00","High"
"12:59","8558","0.425","70:24:00","Normal"
"0.55763888888889","11554","9:09","70:01:00","High"
"0.56388888888889","11481","10","71:04:00","High"
"12:17","9143","8:41","67.73","Normal"
"0.51805555555556","8145","9:03","70.87","Normal"
"12:43","10479","9:11","70:21:00","High"
"12:03","8939","8:15","64:49:00","Normal"
"0.51805555555556","9115","0.35625","67.94","Normal"
"14:16","13991","11:42","71:09:00","High"
"0.54305555555556","12271","0.43680555555556","71:01:00","High"
"14:21","11851","0.46805555555556","72:06:00","High"
"0.56111111111111","10848","10:31","70:06:00","High"
"13:23","9378","0.39513888888889","68.83","Normal"
"13:07","7453","8:44","66:59:00","Normal"
"13:25","9603","8:53","70.88","High"
"13:35","11028","9:34","69:23:00","High"
"0.59097222222222","8850","9:05","71:19:00","High"
"12:51","8002","0.35972222222222","67:05:00","Normal"
"0.56180555555556","7947","0.38611111111111","66:18:00","Normal"
"13:01","7974","9:08","69:05:00","Normal"
"12:48","9675","0.34305555555556","64:35:00","Normal"
"12:29","7621","8:04","65:09:00","Normal"
"0.56111111111111","8171","0.39027777777778","70:09:00","Normal"
"0.56666666666667","7707","0.37708333333333","65.67","Normal"
"12:25","8890","0.38333333333333","69.71","Normal"
"16:28","14894","0.50833333333333","71:09:00","Very-High"
"13:52","11184","8:46","70.66","High"
"0.54583333333333","9060","8:08","68:52:00","Normal"
"13:41","10632","0.34861111111111","68:01:00","Normal"
"12:05","11829","0.30347222222222","70:06:00","Normal"
"12:01","9215","6:06","66:49:00","Normal"
"12:42","10543","7:49","67:03:00","Normal"
"0.58680555555556","9504","8:02","70:45:00","High"
"13:06","9505","0.34583333333333","67:38:00","Normal"
"13:16","11032","8:01","69:04:00","High"
"0.55347222222222","11519","0.35555555555556","66.78","Normal"
"13:59","11017","8:24","69:07:00","High"
"0.56805555555556","9030","7:23","67:21:00","Normal"
"13:05","9558","0.34861111111111","69.81","Normal"
"13:15","12505","7:05","67:48:00","Normal"
"0.56597222222222","12201","0.35694444444444","70:01:00","High"
"13:24","11956","0.35208333333333","69.77","High"
"0.59097222222222","10973","0.39652777777778","70.93","High"
"13:39","10116","8:35","70:44:00","High"
"0.60138888888889","7434","8:51","73:04:00","Normal"
"12:57","11736","0.35138888888889","68.67","High"
"0.55833333333333","12886","0.38958333333333","70.63","High"
"13:39","8134","8:25","73:41:00","Normal"
"15:58","17097","11:43","72:13:00","Very-High"
"14:51","13786","0.46180555555556","71:31:00","High"
"15:09","13117","0.48194444444444","70.92","High"
"0.58888888888889","9381","9:13","71:27:00","High"
"0.59444444444444","7324","0.35555555555556","68:39:00","Normal"
"13:08","8218","8:46","70:41:00","Normal"
"13:01","10151","9:21","70:32:00","High"
"0.55763888888889","12525","0.40208333333333","71:21:00","High"
"12:37","9059","8:11","70.87","Normal"
"0.51736111111111","8310","8:04","69:09:00","Normal"
"13:51","9280","8:16","70:48:00","Normal"
"12:15","10244","8:22","70:36:00","Normal"
"0.56388888888889","7496","0.39791666666667","70.93","Normal"
"13:08","9181","9:03","69:53:00","High"
"0.54791666666667","7753","0.35","72.82","Normal"
"12:32","6738","9:42","68:43:00","Normal"
"12:51","7502","7:03","70:35:00","Normal"
"13:12","7244","7:31","67.69","Normal"
"13:24","7279","7:54","67.69","Normal"
"0.72847222222222","14356","12:51","73.83","Very-High"
"15:17","10503","0.47986111111111","71:25:00","High"
"13:11","10157","7:09","68:19:00","Normal"
"12:45","8940","7","69:03:00","Normal"
"13:18","9412","7:03","67.69","Normal"
"12:38","10409","7:26","64:03:00","Normal"
"0.58680555555556","10198","8:32","68:52:00","High"
"12:46","9064","7:15","65.93","Normal"
"14:05","12390","10:37","72:53:00","High"
"0.55972222222222","9153","0.35833333333333","65:25:00","Normal"
"0.58472222222222","10028","0.39652777777778","61.77","Normal"
"13:38","8548","7:44","62:53:00","Normal"
"12:36","7736","0.35277777777778","70.94","Normal"
"13:24","9494","0.35833333333333","67.77","Normal"
"0.52430555555556","11072","8:09","66:45:00","Normal"
"12:53","8408","7:51","68:55:00","Normal"
"0.60902777777778","8770","10:03","66:09:00","Normal"
"12:03","6335","0.42291666666667","63:45:00","Normal"
"0.55694444444444","7580","0.42777777777778","65:14:00","Normal"
"14:17","10243","0.42222222222222","66:45:00","High"
"13:04","10347","0.38819444444444","66:44:00","Normal"
"12:31","7623","0.39097222222222","62.96","Normal"
"13:48","8720","0.39722222222222","61.85","Normal"
"0.55347222222222","9480","8:46","59.62","Normal"
"12:35","6918","8:59","62:55:00","Normal"
"12:07","7600","0.35763888888889","66:36:00","Normal"
"16:04","14148","12:02","70.63","Very-High"
"0.60972222222222","7405","10:53","65.68","Normal"
"0.58888888888889","8140","9:09","68:45:00","Normal"
"13:02","7467","8:37","66:34:00","Normal"
"13:11","7966","9:01","64:15:00","Normal"
"0.55347222222222","7040","9","63:39:00","Normal"
"0.55486111111111","7142","8:01","65.93","Normal"
"0.58402777777778","7519","0.37638888888889","69.61","Normal"
"0.55277777777778","7973","8:27","69:08:00","Normal"
"0.56458333333333","6378","7:04","67:35:00","Normal"
"0.54513888888889","6467","0.33819444444444","62:22:00","Normal"
"0.67708333333333","13290","0.51458333333333","71:06:00","Very-High"
"14:32","8316","0.44097222222222","69:43:00","High"
"13:13","7929","0.33958333333333","66:14:00","Normal"
"0.62708333333333","7446","0.40069444444444","68:05:00","Normal"
"12:41","8151","8:58","64.93","Normal"
"0.50208333333333","8034","7:08","60:24:00","Normal"
"12:42","9708","8:22","60.99","Normal"
"0.5875","11977","8:34","68.82","High"
"13:17","6188","7:49","66:39:00","Normal"
"0.59166666666667","7350","8:33","66:22:00","Normal"
"12:06","7882","8:02","64.83","Normal"
"12:18","4903","5:39","60:02:00","Low"
"13:47","5245","0.31666666666667","65:25:00","Low"
"12:35","5505","0.29375","67:06:00","Low"
"0.50833333333333","5009","5:12","67:26:00","Low"
"14:39","13744","11:19","70.93","High"
"11:11","6955","0.30277777777778","65.93","Normal"
"14:14","10201","0.38402777777778","67:07:00","High"
"12:53","7545","5:06","59:09:00","Low"
"14:39","9989","10:05","67:16:00","High"
"12:18","8856","10:01","68:15:00","Normal"
"0.55138888888889","7491","9:47","69:17:00","Normal"
"14:02","9607","10:34","68:29:00","High"
"10:05","6377","0.22013888888889","66.62","Low"
"7:49","5289","0.17638888888889","65:33:00","Low"
"0.54791666666667","11400","10:18","72:36:00","High"
"11:08","7864","0.38819444444444","60:32:00","Normal"
"0.47152777777778","6327","6:51","65:31:00","Low"
"9:03","5736","5:08","58:59:00","Low"
"0.33472222222222","4895","4:27","66:05:00","Low"
"6:47","5429","3:04","64:54:00","Low"
"0.37569444444444","4841","0.17013888888889","65.83","Low"
"12:29","6617","0.39097222222222","66:46:00","Normal"
"12:43","8926","8:02","66.78","Normal"
"12:08","6788","9:21","66:42:00","Normal"
"13","5708","0.39375","66:06:00","Normal"
"11:08","4603","0.26875","58","Low"
"0.18541666666667","3976","1:42","55:43:00","Low"
"0.39513888888889","4393","3:43","66:11:00","Low"
"9:22","4487","3:33","63.75","Low"
"9:32","4664","3:01","65:49:00","Low"
"5:04","5412","2:16","65.86","Low"
"10:59","5415","0.23194444444444","65.85","Low"
"0.3375","5328","3:09","65.69","Low"
"0.43194444444444","4673","3:25","65:36:00","Low"
"15:02","14937","11:57","70:52:00","Very-High"
"13:08","11156","8:54","71:57:00","High"
"14:31","9492","9:33","69.93","High"
"0.59444444444444","7085","9:34","65:26:00","Normal"
"14:31","8707","8:53","67:39:00","Normal"
"14:42","8089","0.39375","64:35:00","Normal"
"14","8020","0.42083333333333","68:14:00","Normal"
"13:03","8489","8:15","68.72","Normal"
"14:27","10673","0.43402777777778","68.85","High"
"14:06","9516","9:37","67.98","High"
"0.63333333333333","9641","10:32","69.78","High"
"14:46","9816","0.40208333333333","66.94","High"
"0.64097222222222","8857","9:28","71:22:00","High"
"14:07","8122","0.37708333333333","68:08:00","Normal"
"13:58","8316","0.37916666666667","65","Normal"
"0.59513888888889","8791","8:02","65:47:00","Normal"
"13:59","8327","8:09","69:58:00","Normal"
"14:13","8216","0.38055555555556","69:22:00","Normal"
"0.60972222222222","9615","8:07","67:16:00","Normal"
"13:46","11098","0.42986111111111","69:22:00","High"
